,회차,시간,인물,대사
2,51,0~5,두한,해방이다. 그토록 온 세상이 염원하던 독립이 왔다. 이 독립을 위해 얼마나 많은 사람들이 싸우다 죽어갔는가?*
3,51,0~5,두한,아버님이 그리하셨고 어머님이 그리하셨다. 이제 난 이 새로운 조국에서 과연 무엇을 해야하는 것인가?* 
4,51,0~5,두한,주먹패로 살아간다는 것은 더 이상 의미가 없다. 무엇을 위해 누구와 싸운단 말인가?*
5,51,0~5,두한,무엇을 해야할까? 독립이 오고 해방이 왔는데 내가 할 일이 무엇일까? 내가 할 일이...?*
21,51,0~5,김영태,저희 큰형님을 만나러 오셨다구요?
23,51,0~5,김영태,안 됐습니다만 헛걸음을 하셨습니다. 우리도 요 몇 달 동안 큰형님을 못 뵈었습니다.
25,51,0~5,김영태,글쎄요.. 우리도 큰형님을 찾고 있는 중입니다만... 혹시 무슨 일인지 제가 먼저 알면 안 되겠습니까?
28,51,0~5,김영태,치안대에 협조해 달라는 말씀입니까?
31,51,0~5,김영태,무슨 말씀인지 잘 알겠습니다. 큰형님이 돌아오시면 그렇게 전하겠습니다.
34,51,0~5,김영태,장권 동지라? 아무튼 그렇게 전하겠습니다.
36,51,0~5,김영태,"예, 안녕히 가십시오."
37,51,5~10,김영태,새로운 조국 건설사업이라...? 세상이 온통 뒤죽박죽인데 뭐가 영광스러운 임무라는 것인가? 헌데 이 두한이는 도대체 어디 가있는 거야? 이제 돌아올 때도 되었는데...*
48,51,5~10,최동열,백성들이야 늘 그런 거 아닌가? 바쁜 건 위정자들이야. 옛날이나 지금이나 자신들이 진정한 애국자라고 하는 사람들 말이야.
50,51,5~10,최동열,글쎄... 민족진영에서 가만있을까? 시끄러울거야.
52,51,5~10,최동열,아마도 그럴 테지. 정국이 혼란한 만큼 기사거리가 많아질 테니까...
53,51,5~10,나레이션,"해방정국. 그랬다. 해방은 곧 사회의 혼란으로 이어졌다. 조선총독 아베와 정무총감 엔도오는 중도좌파 성향의 여운형에게 정권이양을 제의했고, 이를 수락한 여운형은 발빠르게 건준, 즉 건국준비위원회를 조직해 해방정국의 주도권을 잡았다. "
54,51,5~10,나레이션,"그러나 총독부가 당초의 약속을 어기고 정권 이양을 미루고, 북쪽이 소련군의 진주와 함께 친위공산세력을 기초로 하는 정부조직을 만들고 있을 때, 남쪽은 미국이라는 강력한 또 하나의 세력이 영향을 미치기 시작했다. "
55,51,5~10,나레이션,"미국은 승전국으로서 건국준비위원회를 비롯한 모든 정부를 불인정하고, 새 정부 건설은 자신들이 적극 주도하겠다는 노골적인 의사를 표현했던 것이다. "
56,51,5~10,나레이션,"그러나 조선의 정객들은 정파와 이념에 따라 서로 갈등하고 분열되고 있었다. 공산주의와 민족주의, 즉 역사에 큰 상처로 기록되는 분단의 시작이 여기서부터 비롯되고 있었던 것이다."
78,51,10~15,유진산,어른들 말씀하시는데 제가 한 말씀 드려도 되겠습니까?
80,51,10~15,유진산,건준에 참여하지 않은건 분명 올바른 결정이었습니다. 하지만 그저 이대로 앉아서 임정을 기다리고 있을 순 없는 일 아닙니까? 
81,51,10~15,유진산,다들 건준의 상층부만 보고 말씀들을 하시는데... 실상은 그렇지가 않습니다. 각 지역지역마다 자생적으로 조직된 하부조직은 그야말로 어마어마합니다. 
82,51,10~15,유진산,중요한 것은 그들 대부분이 좌익적인 성향을 가졌다는 것입니다. 공산주의 말이에요. 이제 박헌영마저 건준에 가담을 한다면 좌익의 규모는 엄청날 것입니다.
83,51,10~15,조병옥,맞는 말이오. 어떻게 되찾은 나라인데... 공산주의자들한테 넘겨줄 수는 없는 일이지요.
89,51,10~15,개코,으미 깜찍한놈 무엇이 그리 궁금하다냐?
91,51,10~15,개코,터...? 털어 인마? 아 우리가 도둑놈의 새끼냐? 어? 우리 막 그냥 일본놈들이 놔두고 간 거 그냥 이렇게 살포시 줏어갖고 온 것이지. 안 그런가?
92,51,15~20,신영균,"자자, 만길이 너는 창고로 가라. 창고로 가서 이 짐들 부려놔. 바쁘다, 바뻐... 갈 곳이 아주 많아!"
94,51,15~20,김영태,"야, 영균이? 저것들은 다 뭐야?*"
95,51,15~20,신영균,형님.*
96,51,15~20,김영태,뭐냐구 묻고 있잖아?
97,51,15~20,개코,아 긍께로 저것이...
99,51,15~20,개코,아 글제.
100,51,15~20,김영태,"이놈들아, 그래도 그렇지... 그렇다고 해서 너희들이 주인은 아니잖아?"
101,51,15~20,신영균,아 왜 그러십니까 형님? 어차피 주인이 없는 거니까 저희들이 빨리 챙겨오는 거 아닙니까?
102,51,15~20,김영태,"이런...! 하, 앞으로 그런건 큰형님의 지시에 따르도록 해. 함부로 날뛰지 말고 말이야. 잘못하면 큰형님을 욕보일 수도 있다 이 말이야. 알겠어?"
103,51,15~20,신영균,뭐 알겠습니다 형님. 흐흐. 형님! 큰형님!
105,51,15~20,개코,아 두한아! 어디갔다 왔어!*
106,51,15~20,두한,그래. 잘들 있었냐? 들어가자
107,51,15~20,김영태,"그래, 그동안 어딜 다녀온 건가?"
108,51,15~20,두한,머리도 식힐 겸 절에 좀 다녀왔습니다.
109,51,15~20,김영태,그랬구만... 그래 내 생각에도 얼핏 그런 짐작이 들더라고... 그래... 좀 쉬긴 쉬었나?
110,51,15~20,두한,그런 셈이지요. 아무튼 몇 달 조용히 잘 지냈으니까.
111,51,15~20,신영균,"좋으셨겠습니다, 큰형님."
112,51,15~20,두한,그래... 너도 얼굴이 좋아 보인다.
113,51,15~20,신영균,"예, 큰형님. 요즘 세월 아주 좋습니다. 어려웠던 조직의 형편도 많이 좋아지고 있구요."
114,51,15~20,개코,"하하, 아 그렇지. 아 트럭만 가지고 가면 싸그리 다 우리 것이라니께. 워메, 그 방직공장 앞마당에 그냥 광목들이 산더미처럼 쌓였는디 콱 다 씹어부렀..."
117,51,15~20,김영태,자네가 몇달 자리를 비운 동안 애들이 엉망이 됐어. 모두들 제멋대로 우왕좌왕들 하고있어.
118,51,15~20,신영균,아 형님...
