회차,시간,인물,대사
1,20~25,두한,흐... 언젠가는 내가 당신을 죽일 거에요...
1,20~25,두한,우리 어머니를 풀어줘요...!
1,20~25,두한,난 몰라요!
1,25~30,두한,두한이에요!
1,25~30,두한,우리 어머닐 내 줘요! 우리 어머니 내달란 말이에요!
1,25~30,두한,우리엄마 풀어 줘. 우리엄마 풀어 줘!!
1,25~30,두한,우리 어머니 죽이고 있어요! 어머닐 때리고 있어요! 어서 풀어 줘!
1,25~30,두한,싫어! 안 가! 우리 어머니 때리지 마! 우리 어머닌 죄가 없어! 우리 어머니 풀어 줘! 
1,25~30,두한,나 안가! 이거 놔! 우리 어머니 풀어줘! 우리 어머니 때리지 마! 우리 어머닌 죄가 없어!*
1,25~30,두한,놔! 우리 어머니 풀어줘! 우리 어머니 때리지 마! 우리 어머닌 죄가 없어!*
1,25~30,두한,어머니...* 어머니!
1,25~30,두한,"어머니...! 어머니... 흑, 흑흑... 할머니... 어머니가 매를 맞고 있어요. 어머니가...*"
1,25~30,두한,저 안에 어머니가 있다니까요.* 
1,30~35,두한,"아, 아버지요? "
1,30~35,두한,어디로요? 
1,30~35,두한,예??
1,30~35,두한,"ㅈ, 저... 어머니는 어떻게 하구요?*"
1,35~40,두한,"하지만 어, 어머니는...*"
1,35~40,두한,"할머니, 어머니는 어떻게 하죠? 어머니요...*"
1,40~45,두한,예...*
1,45~50,두한,할머니...!
1,50~55,두한,독립군 사령관입니다... 
1,50~55,두한,"예, 아버님."
1,50~55,두한,"예, 아버님...*"
1,50~55,두한,예...*
1,55~60,두한,아버님...*
1,55~60,두한,"예, 아버님...*"
1,55~60,두한,예...*
1,55~60,두한,"예, 아버님.*"
1,55~60,두한,예.* 
1,55~60,두한,"예, 아버지...* "
1,55~60,두한,예...*
1,60~65,두한,할머니...!
1,60~65,두한,할머니...
1,60~65,두한,할머니...! 할머니 죽으면 안 돼요! 할머니...!
1,60~65,두한,할머니...! 할머니...!
1,60~65,두한,할머니... 할머니...*
1,60~65,두한,할머니...! 할머니...!
1,60~65,두한,"할머니! 할머니! 할머니! 할머니! 할머니! 할머니, 죽으면 안돼요 할머니...! 할머니, 할머니! 할머니...*"
1,60~65,두한,할머니...*
2,0~5,두한,"할머니, 죽으면 안돼요 할머니...! 할머니, 할머니! 할머니... 할머니...*"
2,5~10,두한,할머니는...?*
2,5~10,두한,"하, 하, 할아버지..."
2,5~10,두한,"ㅎ, 할머니...? 할머니는...? "
2,20~25,두한,예...*
2,20~25,두한,어머니...? 어머니!
2,20~25,두한,어머니...! 어머니...*
2,20~25,두한,어머니...*
2,20~25,두한,열차에서... 돌아가셨어요.*
2,20~25,두한,돌아가셨어요...*
2,20~25,두한,예... 아버지께서 주신 거예요...*
2,25~30,두한,어머니!*
2,25~30,두한,"어, 어머니...! 어머니...!*"
2,25~30,두한,어머니...! 어머니!*
2,25~30,두한,어머니...*
2,25~30,두한,"어머니...! 어머니 죽으면 안 돼요...! 어머니...! 어머니, 말 좀 해보세요 어머니...  어머니... 어머니 죽으면 안 돼요...*"
2,25~30,두한,예. 
2,25~30,두한,그 기름은 불이 잘 붙나요? 
2,45~50,두한,"수, 술도가에 다녀왔는데요..."
2,50~55,두한,아! 아!* 나는 몰라요!
2,50~55,두한,몰라요! 나는 몰라요! 왜 때려요!
2,50~55,두한,안돼요! 이거 우리 아버지가 주신 거에요! 안돼요! *
2,50~55,두한,안돼요...!*
2,50~55,두한,안돼요...!*
2,50~55,두한,안돼요...!*
2,50~55,두한,안돼요...!*
2,50~55,두한,"안돼요, 아 우리 아버지가 주신 거에요!**"
2,50~55,두한,악! 아악!*
2,50~55,두한,외삼촌....!***
2,50~55,두한,"시, 시계는요...? "
3,0~5,두한,이 집은 모두 석유가 뿌려져 있어요! 내 시계를 내놓으시오.
3,0~5,두한,내 시계를 내놔요! 그리고 마을 사람들 빚 장부도 다 내놓으시오.
3,0~5,두한,당신은 나쁜 사람이오. 지금 내놓지 않으면 불을 지를 거예요. 어서 내놔요! 어서!
